Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek Chat","DeepSeek Reasoner","DeepSeek R1 14b Local"
"TransactionOriginAuthFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"TransactionOriginAuth","FN","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","FN","TP"
"DefaultAccessModifierSimpleFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DefaultAccessModifierSimple","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"DefaultAccessModifierVariableFixed","TN","TN","TN","FP","TN","FP","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN"
"DefaultAccessModifierVariable","FN","FN","FN","TP","FN","TP","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN"
"UnInitializedConditionStateVariableFixed","TN","FP","FP","FP","FP","FP","FP","TN","FP","TN","FP","TN","TN","FP","TN","FP","TN","TN"
"UnInitializedConditionStateVariable","FN","FN","FN","TP","FN","TP","TP","FN","FN","FN","FN","FN","FN","TP","FN","TP","FN","TP"
"UnprotectedSelfdestructFixed","TN","TN","TN","FP","TN","FP","FP","TN","FP","TN","FP","TN","TN","TN","TN","FP","TN","TN"
"UnprotectedSelfdestruct","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","FN"
"UnprotectedTransferFixed","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN"
"UnprotectedTransfer","TP","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP","FN","FN","TP","FN","FN"
"SignatureBasedVulnerabilityFixed","TN","TN","TN","FP","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN"
"SignatureBasedVulnerability","TP","FN","TP","TP","TP","TP","FN","FN","FN","FN","FN","TP","TP","TP","FN","TP","TP","FN"
"SignatureMaleabilityFixed","TN","TN","TN","TN","TN","TN","TN","FP","FP","TN","TN","TN","TN","TN","TN","FP","TN","TN"
"SignatureMaleability","TP","FN","FN","TP","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN"
