Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek Chat","DeepSeek Reasoner","DeepSeek R1 14b Local"
"TransactionOriginAuth","TP","FN","FN","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP"
"TransactionOriginAuthFixed","FP","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DefaultAccessModifierSimple","FN","TP","FN","TP","TP","TP","TP","TP","FN","FN","TP","FN","FN","TP","TP","FN","TP","TP"
"DefaultAccessModifierSimpleFixed","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","FP","TN","TN","TN","FP","TN","TN","TN"
"DefaultAccessModifierVariable","TP","FN","FN","FN","TP","TP","TP","FN","TP","TP","TP","FN","FN","TP","TP","TP","FN","FN"
"DefaultAccessModifierVariableFixed","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","FP","TN","TN","TN"
"UnInitializedConditionStateVariable","FN","FN","FN","TP","TP","FN","FN","FN","TP","TP","TP","TP","FN","FN","TP","TP","FN","FN"
"UnInitializedConditionStateVariableFixed","FP","FP","FP","FP","FP","FP","TN","TN","FP","TN","TN","TN","TN","TN","TN","FP","TN","TN"
"UnprotectedSelfdestruct","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"UnprotectedSelfdestructFixed","TN","TN","FP","TN","FP","FP","FP","TN","FP","FP","TN","TN","TN","TN","FP","FP","FP","FP"
"UnprotectedTransfer","FN","FN","TP","TP","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP","FN","TP"
"UnprotectedTransferFixed","FP","FP","TN","FP","FP","TN","TN","TN","TN","TN","TN","TN","FP","FP","TN","TN","TN","TN"
"SignatureBasedVulnerability","FN","TP","FN","TP","TP","TP","FN","FN","FN","FN","FN","FN","TP","TP","TP","TP","TP","TP"
"SignatureBasedVulnerabilityFixed","TN","TN","FP","FP","TN","TN","TN","TN","TN","TN","TN","FP","FP","FP","TN","FP","FP","TN"
"SignatureMaleability","FN","FN","FN","TP","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","TP","TP","TP"
"SignatureMaleabilityFixed","FP","TN","TN","FP","TN","TN","TN","FP","FP","TN","TN","TN","TN","FP","FP","TN","FP","FP"
