Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.37","0","0.68","0.25","0.16","1","0.61","0.75","0.54","0.42","0","2"
"GPT Oss 20b API","0.12","0.12","0.5","0.12","0","0.5","0.33","0.31","0.2","0.14","0","3"
"GPT Oss 20b Local","0.5","0.12","0.68","0.37","0.2","0.8","0.66","0.71","0.61","0.54","0","3"
"Grok 4.1 fast non-reasoning","0.75","0.5","0.62","0.25","0.66","0.6","0.61","0.62","0.66","0.71","0","6"
"Grok 4.1 fast reasoning","0.37","0.25","0.56","0.37","0","0.6","0.53","0.53","0.46","0.4","0","3"
"Devstral","0.75","0.5","0.62","0.25","0.66","0.6","0.61","0.62","0.66","0.71","0","7"
"Magistral Medium","0.37","0.25","0.56","0.12","0.28","0.6","0.53","0.53","0.46","0.4","0","5"
"Magistral 24b API","0.37","0.12","0.62","0.37","0","0.75","0.57","0.62","0.5","0.41","0","5"
"Devstral Small API","0.25","0.37","0.43","0.12","0.14","0.4","0.39","0.35","0.3","0.27","0","6"
"Magistral 24b Local","0.25","0","0.62","0.25","0","1","0.5","0.62","0.4","0.29","0","4"
"Devstral Small Local","0.25","0.37","0.43","0.12","0.14","0.4","0.39","0.35","0.3","0.27","0","6"
"Qwen3 235b thinking","0.5","0","0.75","0.5","0","1","0.7","0.83","0.66","0.55","0","3"
"Qwen3 30b thinking API","0.5","0","0.75","0.5","0","1","0.7","0.83","0.66","0.55","0","4"
"Qwen3 235b instruct","0.5","0.25","0.62","0.37","0.2","0.66","0.61","0.62","0.57","0.52","0","6"
"Qwen3 30b instruct API","0.25","0","0.62","0.25","0","1","0.5","0.62","0.4","0.29","0","7"
"DeepSeek Chat","0.75","0.37","0.68","0.37","0.6","0.66","0.68","0.68","0.7","0.73","0","4"
"DeepSeek Reasoner","0.37","0.12","0.62","0.25","0.16","0.75","0.57","0.62","0.5","0.41","0","3"
"DeepSeek R1 14b Local","0.25","0","0.62","0.25","0","1","0.5","0.62","0.4","0.29","0","6"
