Model,"Time Outs","Invalid Results","Total Detections","Average runtime (ms)","Errors"
"GPT Oss 120b","0","0","66","20589.05","0"
"GPT Oss 20b API","0","1","31","18359.77","0"
"GPT Oss 20b Local","3","5","47","175016.77","0"
"Grok 4.1 fast non-reasoning","0","0","166","7431","0"
"Grok 4.1 fast reasoning","0","0","151","33010.27","0"
"Devstral","0","0","145","20843.72","0"
"Magistral Medium","0","2","98","21525.88","0"
"Magistral 24b API","0","1","108","7920.72","0"
"Devstral Small API","0","0","116","3690","0"
"Magistral 24b Local","0","0","97","70226.66","0"
"Devstral Small Local","0","0","119","94876","0"
"Qwen3 235b thinking","0","0","91","105074.55","0"
"Qwen3 30b thinking API","0","0","53","34080.5","0"
"Qwen3 235b instruct","0","0","123","13761.11","0"
"Qwen3 30b instruct API","0","1","130","15382.38","0"
"DeepSeek Chat","0","0","143","43754.77","0"
"DeepSeek Reasoner","1","0","93","122971.44","0"
"DeepSeek R1 14b Local","0","1","61","81654.61","0"
