Model,TP,FP,TN,FN
"GPT Oss 120b",1,0,7,6
"GPT Oss 20b API",3,1,6,4
"GPT Oss 20b Local",4,2,5,3
"Grok 4.1 fast non-reasoning",4,0,7,3
"Grok 4.1 fast reasoning",4,1,6,3
"Devstral",5,4,3,2
"Magistral Medium",3,2,5,4
"Magistral 24b API",3,0,7,4
"Devstral Small API",5,3,4,2
"Magistral 24b Local",4,2,5,3
"Devstral Small Local",5,2,5,2
"Qwen3 235b thinking",3,0,7,4
"Qwen3 30b thinking API",2,0,7,5
"Qwen3 235b instruct",4,3,4,3
"Qwen3 30b instruct API",2,1,6,5
"DeepSeek Chat",6,4,3,1
"DeepSeek Reasoner",3,1,6,4
"DeepSeek R1 14b Local",3,2,5,4
