Model,"Time Outs","Invalid Results","Total Detections","Average runtime (ms)","Errors"
"GPT Oss 120b","0","10","69","21966.67","0"
"GPT Oss 20b API","0","2","38","35651.41","0"
"GPT Oss 20b Local","1","5","49","90939.36","1"
"Grok 4.1 fast non-reasoning","0","0","110","4281.38","0"
"Grok 4.1 fast reasoning","0","0","67","33055.26","0"
"Devstral","0","0","123","10828.79","0"
"Magistral Medium","0","4","71","6965.23","0"
"Magistral 24b API","0","3","61","3055.79","0"
"Devstral Small API","0","3","82","2374.79","0"
"Magistral 24b Local","0","9","45","39784.47","0"
"Devstral Small Local","0","2","84","53774.42","1"
"Qwen3 235b thinking","0","0","49","109893.35","0"
"Qwen3 30b thinking API","0","0","19","24583.55","0"
"Qwen3 235b instruct","0","0","89","8014.58","0"
"Qwen3 30b instruct API","0","7","62","6041.5","0"
"DeepSeek Chat","0","0","124","19358.97","0"
"DeepSeek Reasoner","0","0","62","79151.85","0"
"DeepSeek R1 14b Local","0","1","71","70687.41","0"
