Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0","0","0.5","0","0","0","0","0","0","0","0","2"
"GPT Oss 20b API","0","0","0.5","0","0","0","0","0","0","0","0","0"
"GPT Oss 20b Local","0","0","0.5","0","0","0","0","0","0","0","0","0"
"Grok 4.1 fast non-reasoning","0","0","0.5","0","0","0","0","0","0","0","0","1"
"Grok 4.1 fast reasoning","0","0","0.5","0","0","0","0","0","0","0","0","0"
"Devstral","0","0","0.5","0","0","0","0","0","0","0","0","2"
"Magistral Medium","0","0","0.5","0","0","0","0","0","0","0","0","2"
"Magistral 24b API","0","0","0.5","0","0","0","0","0","0","0","0","0"
"Devstral Small API","0","0","0.5","0","0","0","0","0","0","0","0","2"
"Magistral 24b Local","0","0","0.5","0","0","0","0","0","0","0","0","2"
"Devstral Small Local","0","0","0.5","0","0","0","0","0","0","0","0","1"
"Qwen3 235b thinking","0","0","0.5","0","0","0","0","0","0","0","0","1"
"Qwen3 30b thinking API","0","0","0.5","0","0","0","0","0","0","0","0","1"
"Qwen3 235b instruct","0","0","0.5","0","0","0","0","0","0","0","0","2"
"Qwen3 30b instruct API","0","0","0.5","0","0","0","0","0","0","0","0","2"
"DeepSeek Chat","0","0","0.5","0","0","0","0","0","0","0","0","1"
"DeepSeek Reasoner","0","0","0.5","0","0","0","0","0","0","0","0","1"
"DeepSeek R1 14b Local","0","0","0.5","0","0","0","0","0","0","0","0","2"
