Model,TP,FP,TN,FN
"GPT Oss 120b",1,0,7,6
"GPT Oss 20b API",1,0,7,6
"GPT Oss 20b Local",1,1,6,6
"Grok 4.1 fast non-reasoning",2,1,6,5
"Grok 4.1 fast reasoning",2,1,6,5
"Devstral",2,0,7,5
"Magistral Medium",0,1,6,7
"Magistral 24b API",1,0,7,6
"Devstral Small API",1,0,7,6
"Magistral 24b Local",1,0,7,6
"Devstral Small Local",1,0,7,6
"Qwen3 235b thinking",2,0,7,5
"Qwen3 30b thinking API",1,0,7,6
"Qwen3 235b instruct",1,0,7,6
"Qwen3 30b instruct API",1,0,7,6
"DeepSeek Chat",2,1,6,5
"DeepSeek Reasoner",1,1,6,6
"DeepSeek R1 14b Local",1,0,7,6
