Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0","0","0.5","0","0","0","0","0","0","0","0","3"
"GPT Oss 20b API","0","0","0.5","0","0","0","0","0","0","0","0","7"
"GPT Oss 20b Local","0","0","0.5","0","0","0","0","0","0","0","0","2"
"Grok 4.1 fast non-reasoning","0","0","0.5","0","0","0","0","0","0","0","0","6"
"Grok 4.1 fast reasoning","0","0","0.5","0","0","0","0","0","0","0","0","6"
"Devstral","0","0","0.5","0","0","0","0","0","0","0","0","6"
"Magistral Medium","0.12","0","0.56","0.12","0","1","0.35","0.41","0.22","0.15","0","5"
"Magistral 24b API","0","0","0.5","0","0","0","0","0","0","0","0","5"
"Devstral Small API","0.12","0","0.56","0.12","0","1","0.35","0.41","0.22","0.15","0","7"
"Magistral 24b Local","0.12","0","0.56","0.12","0","1","0.35","0.41","0.22","0.15","0","8"
"Devstral Small Local","0","0.12","0.43","0","0","0","0","0","0","0","0","7"
"Qwen3 235b thinking","0","0","0.5","0","0","0","0","0","0","0","0","6"
"Qwen3 30b thinking API","0","0","0.5","0","0","0","0","0","0","0","0","7"
"Qwen3 235b instruct","0.12","0.12","0.5","0","0.12","0.5","0.33","0.31","0.2","0.14","0","5"
"Qwen3 30b instruct API","0.12","0","0.56","0.12","0","1","0.35","0.41","0.22","0.15","0","5"
"DeepSeek Chat","0.12","0","0.56","0.12","0","1","0.35","0.41","0.22","0.15","0","3"
"DeepSeek Reasoner","0.12","0","0.56","0.12","0","1","0.35","0.41","0.22","0.15","0","4"
"DeepSeek R1 14b Local","0","0","0.5","0","0","0","0","0","0","0","0","7"
