Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek Chat","DeepSeek Reasoner","DeepSeek R1 14b Local"
"UnmatchedType","TP","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","TP","FN","FN"
"UnmatchedTypeFixed","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","FP","TN","TN"
"AccidentalTypo","TP","FN","FN","TP","TP","FN","FN","TP","TP","TP","TP","FN","FN","FN","FN","TP","TP","FN"
"AccidentalTypoFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ChecksEffectsInteractionsSend","FN","FN","FN","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"ChecksEffectsInteractionsSendFixed","FP","TN","TN","FP","TN","FP","FP","TN","FP","FP","FP","TN","TN","FP","FP","FP","TN","FP"
"ChecksEffectsInteractionsTransfer","TP","FN","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"ChecksEffectsInteractionsTransferFixed","FP","TN","TN","TN","TN","FP","FP","TN","FP","FP","FP","FP","TN","FP","FP","FP","FP","TN"
"FunctionOrder","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN"
"FunctionOrderFixed","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN"
"StringQuotes","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"StringQuotesFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"DeprecatedFunctions","FN","FN","TP","TP","TP","FN","FN","FN","FN","TP","FN","TP","TP","FN","TP","TP","FN","TP"
"DeprecatedFunctionsFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN"
"UseOfAssembly","FN","FN","FN","TP","TP","TP","FN","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP","FN"
"UseOfAssemblyFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"MultipleInheritanceConstructorOrder","FN","FN","FN","TP","FN","TP","FN","TP","FN","TP","FN","TP","FN","FN","TP","TP","TP","TP"
"MultipleInheritanceConstructorOrderFixed","TN","TN","TN","FP","TN","FP","FP","TN","FP","FP","FP","FP","TN","FP","FP","TN","FP","TN"
"ShadowingParameterVariable","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"ShadowingParameterVariableFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN"
"ShadowingStateConstructorParam","FN","FN","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","FN"
"ShadowingStateConstructorParamFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN"
"ShadowingStateParameter","FN","FN","FN","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP","TP","TP","FN"
"ShadowingStateParameterFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP"
"ShadowingStateVariable","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"ShadowingStateVariableFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN"
