Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.16","0","0.58","0.16","0","1","0.4","0.5","0.28","0.19","0","6"
"GPT Oss 20b API","0","0","0.5","0","0","0","0","0","0","0","0","4"
"GPT Oss 20b Local","0.33","0.16","0.58","0","0.33","0.66","0.52","0.55","0.44","0.37","0","3"
"Grok 4.1 fast non-reasoning","0.16","0.16","0.5","0.16","0","0.5","0.37","0.35","0.25","0.19","0","9"
"Grok 4.1 fast reasoning","0.33","0","0.66","0.33","0","1","0.57","0.71","0.5","0.38","0","11"
"Devstral","0","0","0.5","0","0","0","0","0","0","0","0","7"
"Magistral Medium","0","0.16","0.41","0","0","0","0","0","0","0","0","7"
"Magistral 24b API","0","0","0.5","0","0","0","0","0","0","0","0","7"
"Devstral Small API","0","0","0.5","0","0","0","0","0","0","0","0","8"
"Magistral 24b Local","0","0","0.5","0","0","0","0","0","0","0","0","7"
"Devstral Small Local","0.16","0","0.58","0.16","0","1","0.4","0.5","0.28","0.19","0","8"
"Qwen3 235b thinking","0.16","0","0.58","0.16","0","1","0.4","0.5","0.28","0.19","0","8"
"Qwen3 30b thinking API","0","0","0.5","0","0","0","0","0","0","0","0","6"
"Qwen3 235b instruct","0.33","0","0.66","0.33","0","1","0.57","0.71","0.5","0.38","0","7"
"Qwen3 30b instruct API","0.16","0","0.58","0.16","0","1","0.4","0.5","0.28","0.19","0","7"
"DeepSeek Chat","0.16","0.16","0.5","0.16","0","0.5","0.37","0.35","0.25","0.19","0","6"
"DeepSeek Reasoner","0.33","0","0.66","0.33","0","1","0.57","0.71","0.5","0.38","0","7"
"DeepSeek R1 14b Local","0","0","0.5","0","0","0","0","0","0","0","0","7"
