Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek Chat","DeepSeek Reasoner","DeepSeek R1 14b Local"
"TimestampDependencyFixed","FP","TN","TN","TN","FP","TN","TN","TN","TN","TN","FP","FP","TN","FP","TN","FP","TN","TN"
"TimestampDependency","TP","FN","TP","TP","TP","TP","FN","FN","TP","TP","TP","TP","FN","TP","TP","FN","TP","TP"
"TransactionOrderDependencyFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN"
"TransactionOrderDependencyHashFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"TransactionOrderDependencyHash","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"TransactionOrderDependency","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"BadRandomNumberGenFixed","TN","TN","TN","TN","FP","FP","FP","TN","FP","TN","TN","FP","TN","FP","TN","FP","FP","TN"
"BadRandomNumberGen","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN","TP","TP","FN"
"BlockVariableDependencyFixed","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","FP","TN","FP","TN","TN"
"BlockVariableDependency","TP","FN","FN","TP","TP","TP","FN","FN","FN","FN","FN","TP","FN","TP","FN","TP","TP","FN"
"ImproperPrivateVariableSecretFixed","FP","TN","TN","TN","TN","FP","TN","TN","FP","FP","TN","TN","TN","TN","TN","TN","TN","FP"
"ImproperPrivateVariableSecretMinimalFixed","TN","TN","TN","TN","TN","FP","FP","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"ImproperPrivateVariableSecretMinimal","FN","FN","FN","FN","FN","TP","TP","FN","TP","FN","FN","FN","FN","TP","FN","FN","TP","TP"
"ImproperPrivateVariableSecret","FN","FN","FN","FN","TP","TP","TP","FN","TP","FN","FN","TP","TP","FN","FN","FN","FN","FN"
"UnpredictableStateDynamicLibrariesFixed","FP","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN"
"UnpredictableStateDynamicLibraries","FN","FN","FN","FN","TP","FN","TP","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","TP"
"BlockhashDependencyFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"BlockhashDependency","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
