Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.1","0.1","0.5","0","0.1","0.5","0.3","0.28","0.17","0.12","0","1"
"GPT Oss 20b API","0.1","0.05","0.52","0.1","0","0.66","0.31","0.32","0.18","0.12","0","0"
"GPT Oss 20b Local","0.26","0.05","0.6","0.26","0","0.83","0.49","0.58","0.39","0.3","0","5"
"Grok 4.1 fast non-reasoning","0.31","0.15","0.57","0.21","0.13","0.66","0.51","0.54","0.42","0.35","0","7"
"Grok 4.1 fast reasoning","0.31","0.1","0.6","0.21","0.13","0.75","0.53","0.58","0.44","0.35","0","15"
"Devstral","0.47","0.31","0.57","0.26","0.28","0.6","0.56","0.56","0.52","0.49","0","10"
"Magistral Medium","0.21","0.15","0.52","0.1","0.11","0.57","0.42","0.42","0.3","0.24","0","6"
"Magistral 24b API","0.26","0.15","0.55","0.1","0.17","0.62","0.47","0.49","0.37","0.29","0","5"
"Devstral Small API","0.47","0.21","0.63","0.31","0.23","0.69","0.61","0.63","0.56","0.5","0","10"
"Magistral 24b Local","0.36","0.1","0.63","0.26","0.14","0.77","0.57","0.63","0.5","0.41","0","12"
"Devstral Small Local","0.52","0.21","0.65","0.31","0.3","0.71","0.64","0.66","0.6","0.55","0","9"
"Qwen3 235b thinking","0.31","0.15","0.57","0.21","0.13","0.66","0.51","0.54","0.42","0.35","0","10"
"Qwen3 30b thinking API","0.1","0","0.55","0.1","0","1","0.32","0.37","0.19","0.12","0","4"
"Qwen3 235b instruct","0.42","0.15","0.63","0.26","0.21","0.72","0.59","0.63","0.53","0.45","0","11"
"Qwen3 30b instruct API","0.31","0.15","0.57","0.15","0.18","0.66","0.51","0.54","0.42","0.35","0","6"
"DeepSeek R1 14b Local","0.26","0.1","0.57","0.15","0.12","0.71","0.48","0.53","0.38","0.3","0","8"
"DeepSeek Chat","0.52","0.26","0.63","0.36","0.25","0.66","0.62","0.63","0.58","0.54","0","9"
"DeepSeek Reasoner","0.52","0.15","0.68","0.52","0","0.76","0.66","0.7","0.62","0.56","0","14"
