Model,"Time Outs","Invalid Results","Total Detections","Average runtime (ms)","Errors"
"GPT Oss 120b","0","53","821","30509.31","0"
"GPT Oss 20b API","0","38","385","38906.93","0"
"GPT Oss 20b Local","14","26","367","84266.04","1"
"Grok 4.1 fast non-reasoning","0","0","871","6571.7","0"
"Grok 4.1 fast reasoning","0","1","822","32698.62","0"
"Devstral","0","0","908","8258.89","0"
"Magistral Medium","0","25","573","8050.61","0"
"Magistral 24b API","0","17","486","4737.48","0"
"Devstral Small API","0","12","669","3084.46","0"
"Magistral 24b Local","0","5","566","47013.09","0"
"Devstral Small Local","0","10","687","65407.06","10"
"Qwen3 235b thinking","0","0","458","82007.36","0"
"Qwen3 30b thinking API","0","4","253","25308.17","0"
"Qwen3 235b instruct","0","8","702","8536.02","0"
"Qwen3 30b instruct API","0","11","602","7375.38","0"
"DeepSeek R1 14b Local","0","4","311","67691.12","0"
"DeepSeek Chat","0","0","831","25226.73","0"
"DeepSeek Reasoner","0","0","585","86275.03","0"
