Model,TP,FP,TN,FN
"GPT Oss 120b",3,0,8,5
"GPT Oss 20b API",1,1,7,7
"GPT Oss 20b Local",4,1,7,4
"Grok 4.1 fast non-reasoning",6,4,4,2
"Grok 4.1 fast reasoning",3,2,6,5
"Devstral",6,4,4,2
"Magistral Medium",3,2,6,5
"Magistral 24b API",3,1,7,5
"Devstral Small API",2,3,5,6
"Magistral 24b Local",2,0,8,6
"Devstral Small Local",2,3,5,6
"Qwen3 235b thinking",4,0,8,4
"Qwen3 30b thinking API",4,0,8,4
"Qwen3 235b instruct",4,2,6,4
"Qwen3 30b instruct API",2,0,8,6
"DeepSeek Chat",6,3,5,2
"DeepSeek Reasoner",3,1,7,5
"DeepSeek R1 14b Local",2,0,8,6
