Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.28","0","0.64","0.14","0.16","1","0.53","0.66","0.44","0.33","0","4"
"GPT Oss 20b API","0","0.14","0.42","0","0","0","0","0","0","0","0","0"
"GPT Oss 20b Local","0.28","0","0.64","0.14","0.16","1","0.53","0.66","0.44","0.33","0","3"
"Grok 4.1 fast non-reasoning","0.57","0.42","0.57","0.14","0.5","0.57","0.57","0.57","0.57","0.57","0","12"
"Grok 4.1 fast reasoning","0.42","0","0.71","0.42","0","1","0.65","0.78","0.6","0.48","0","4"
"Devstral","0.14","0.14","0.5","0","0.14","0.5","0.34","0.33","0.22","0.16","0","6"
"Magistral Medium","0.28","0.14","0.57","0.14","0.16","0.66","0.49","0.52","0.4","0.32","0","6"
"Magistral 24b API","0","0.14","0.42","0","0","0","0","0","0","0","0","4"
"Devstral Small API","0.28","0.14","0.57","0.14","0.16","0.66","0.49","0.52","0.4","0.32","0","7"
"Magistral 24b Local","0.28","0.57","0.35","0","0.28","0.33","0.34","0.32","0.3","0.29","0","5"
"Devstral Small Local","0.14","0","0.57","0.14","0","1","0.37","0.45","0.25","0.17","0","4"
"Qwen3 235b thinking","0","0","0.5","0","0","0","0","0","0","0","0","3"
"Qwen3 30b thinking API","0","0","0.5","0","0","0","0","0","0","0","0","0"
"Qwen3 235b instruct","0.28","0.14","0.57","0.28","0","0.66","0.49","0.52","0.4","0.32","0","8"
"Qwen3 30b instruct API","0.42","0.14","0.64","0.14","0.33","0.75","0.6","0.65","0.54","0.46","0","8"
"DeepSeek Chat","0.85","0.57","0.64","0.28","0.8","0.6","0.6","0.63","0.7","0.78","0","11"
"DeepSeek Reasoner","0.28","0","0.64","0.28","0","1","0.53","0.66","0.44","0.33","0","4"
"DeepSeek R1 14b Local","0","0","0.5","0","0","0","0","0","0","0","0","2"
