Model,TP,FP,TN,FN
"GPT Oss 120b",1,0,6,5
"GPT Oss 20b API",1,0,6,5
"GPT Oss 20b Local",1,0,6,5
"Grok 4.1 fast non-reasoning",2,0,6,4
"Grok 4.1 fast reasoning",1,1,5,5
"Devstral",2,0,6,4
"Magistral Medium",1,0,6,5
"Magistral 24b API",1,0,6,5
"Devstral Small API",1,0,6,5
"Magistral 24b Local",1,1,5,5
"Devstral Small Local",2,0,6,4
"Qwen3 235b thinking",1,1,5,5
"Qwen3 30b thinking API",1,0,6,5
"Qwen3 235b instruct",1,1,5,5
"Qwen3 30b instruct API",1,0,6,5
"DeepSeek Chat",1,0,6,5
"DeepSeek Reasoner",2,0,6,4
"DeepSeek R1 14b Local",1,0,6,5
