Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.26","0.19","0.53","0.07","0.19","0.57","0.45","0.46","0.35","0.29","0","50"
"GPT Oss 20b API","0.15","0.09","0.53","0.09","0.07","0.63","0.38","0.39","0.25","0.18","0","17"
"GPT Oss 20b Local","0.23","0.11","0.56","0.19","0.05","0.67","0.45","0.49","0.35","0.27","0","27"
"Grok 4.1 fast non-reasoning","0.43","0.31","0.55","0.18","0.3","0.57","0.54","0.53","0.49","0.45","0","78"
"Grok 4.1 fast reasoning","0.43","0.27","0.57","0.21","0.27","0.61","0.56","0.56","0.5","0.45","0","75"
"Devstral","0.38","0.29","0.54","0.13","0.28","0.56","0.52","0.51","0.45","0.41","0","89"
"Magistral Medium","0.28","0.23","0.52","0.06","0.23","0.54","0.46","0.45","0.37","0.31","0","76"
"Magistral 24b API","0.23","0.19","0.52","0.06","0.18","0.55","0.43","0.43","0.33","0.26","0","56"
"Devstral Small API","0.32","0.22","0.55","0.15","0.2","0.59","0.5","0.51","0.42","0.36","0","72"
"Magistral 24b Local","0.29","0.22","0.53","0.11","0.2","0.56","0.47","0.47","0.38","0.32","0","81"
"Devstral Small Local","0.3","0.25","0.52","0.12","0.2","0.55","0.47","0.47","0.39","0.33","0","70"
"Qwen3 235b thinking","0.31","0.22","0.54","0.15","0.18","0.58","0.49","0.5","0.41","0.35","0","46"
"Qwen3 30b thinking API","0.19","0.1","0.54","0.15","0.04","0.65","0.41","0.44","0.29","0.22","0","28"
"Qwen3 235b instruct","0.39","0.34","0.52","0.12","0.31","0.53","0.51","0.5","0.45","0.41","0","82"
"Qwen3 30b instruct API","0.28","0.29","0.49","0.09","0.21","0.49","0.44","0.42","0.35","0.31","0","62"
"DeepSeek R1 14b Local","0.22","0.19","0.51","0.12","0.11","0.54","0.42","0.42","0.32","0.25","0","50"
"DeepSeek Chat","0.38","0.35","0.51","0.12","0.29","0.52","0.5","0.48","0.44","0.4","0","88"
"DeepSeek Reasoner","0.37","0.21","0.57","0.26","0.15","0.63","0.54","0.55","0.47","0.4","0","73"
