Model,"Recall","False Positive Rate","Balanced Accuracy","Precision"
"GPT Oss 120b","0.62","0.25","0.68","0.71"
"GPT Oss 20b API","0.25","0.12","0.56","0.66"
"GPT Oss 20b Local","0.5","0.25","0.62","0.66"
"Grok 4.1 fast non-reasoning","0.87","0.75","0.56","0.53"
"Grok 4.1 fast reasoning","0.87","0.37","0.75","0.7"
"Devstral","0.37","0.25","0.56","0.6"
"Magistral Medium","0.5","0.12","0.68","0.8"
"Magistral 24b API","0.12","0.12","0.5","0.5"
"Devstral Small API","0.25","0.37","0.43","0.4"
"Magistral 24b Local","0.25","0.12","0.56","0.66"
"Devstral Small Local","0.25","0.12","0.56","0.66"
"Qwen3 235b thinking","0.5","0.5","0.5","0.5"
"Qwen3 30b thinking API","0.37","0.25","0.56","0.6"
"Qwen3 235b instruct","0.62","0.5","0.56","0.55"
"Qwen3 30b instruct API","0.62","0.62","0.5","0.5"
"DeepSeek R1 14b Local","0.12","0.37","0.37","0.25"
"DeepSeek Chat","0.62","0.75","0.43","0.45"
"DeepSeek Reasoner","0.5","0.37","0.56","0.57"
