Model,"Recall","False Positive Rate","Balanced Accuracy","Precision"
"GPT Oss 120b","0","0","0.5","0"
"GPT Oss 20b API","0","0","0.5","0"
"GPT Oss 20b Local","0.16","0.33","0.41","0.33"
"Grok 4.1 fast non-reasoning","0.66","0.16","0.75","0.8"
"Grok 4.1 fast reasoning","0.16","0","0.58","1"
"Devstral","0.5","0.16","0.66","0.75"
"Magistral Medium","0.16","0.16","0.5","0.5"
"Magistral 24b API","0.16","0","0.58","1"
"Devstral Small API","0.16","0.16","0.5","0.5"
"Magistral 24b Local","0.5","0.33","0.58","0.6"
"Devstral Small Local","0.16","0.16","0.5","0.5"
"Qwen3 235b thinking","0.16","0","0.58","1"
"Qwen3 30b thinking API","0","0.16","0.41","0"
"Qwen3 235b instruct","0.5","0.33","0.58","0.6"
"Qwen3 30b instruct API","0.5","0.33","0.58","0.6"
"DeepSeek Chat","0.16","0.16","0.5","0.5"
"DeepSeek Reasoner","0.33","0.16","0.58","0.66"
"DeepSeek R1 14b Local","0.16","0","0.58","1"
