Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.34","0.11","0.61","0.17","0.2","0.75","0.54","0.6","0.46","0.38","0","118"
"GPT Oss 20b API","0.22","0.07","0.57","0.12","0.11","0.74","0.45","0.51","0.34","0.26","0","104"
"GPT Oss 20b Local","0.3","0.14","0.57","0.17","0.16","0.67","0.51","0.54","0.42","0.34","0","102"
"Grok 4.1 fast non-reasoning","0.46","0.35","0.55","0.19","0.33","0.56","0.54","0.54","0.51","0.48","0","164"
"Grok 4.1 fast reasoning","0.45","0.27","0.59","0.23","0.28","0.62","0.57","0.58","0.52","0.48","0","146"
"Devstral","0.47","0.31","0.57","0.19","0.35","0.6","0.57","0.57","0.53","0.49","0","152"
"Magistral Medium","0.36","0.3","0.52","0.13","0.26","0.54","0.5","0.49","0.43","0.38","0","126"
"Magistral 24b API","0.3","0.23","0.53","0.13","0.19","0.56","0.48","0.48","0.39","0.33","0","129"
"Devstral Small API","0.35","0.27","0.53","0.14","0.24","0.56","0.5","0.5","0.43","0.38","0","134"
"Magistral 24b Local","0.32","0.22","0.55","0.13","0.22","0.59","0.5","0.51","0.42","0.36","0","132"
"Devstral Small Local","0.4","0.28","0.56","0.14","0.3","0.59","0.54","0.54","0.48","0.43","0","140"
"Qwen3 235b thinking","0.38","0.22","0.57","0.2","0.22","0.62","0.54","0.55","0.47","0.41","0","118"
"Qwen3 30b thinking API","0.34","0.11","0.61","0.22","0.14","0.75","0.54","0.6","0.46","0.38","0","127"
"Qwen3 235b instruct","0.43","0.29","0.56","0.2","0.28","0.59","0.55","0.55","0.5","0.45","0","157"
"Qwen3 30b instruct API","0.31","0.25","0.53","0.13","0.21","0.56","0.48","0.48","0.4","0.34","0","130"
"DeepSeek Chat","0.51","0.4","0.55","0.21","0.37","0.55","0.54","0.54","0.53","0.51","0","129"
"DeepSeek Reasoner","0.46","0.22","0.61","0.3","0.22","0.67","0.6","0.61","0.55","0.49","0","122"
"DeepSeek R1 14b Local","0.3","0.12","0.59","0.17","0.16","0.71","0.51","0.56","0.42","0.34","0","132"
