Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0","0","0.5","0","0","0","0","0","0","0","0","0"
"GPT Oss 20b API","0.16","0.16","0.5","0","0.16","0.5","0.37","0.35","0.25","0.19","0","0"
"GPT Oss 20b Local","0.16","0","0.58","0.16","0","1","0.4","0.5","0.28","0.19","0","0"
"Grok 4.1 fast non-reasoning","0","0","0.5","0","0","0","0","0","0","0","0","8"
"Grok 4.1 fast reasoning","0","0.16","0.41","0","0","0","0","0","0","0","0","1"
"Devstral","0.16","0","0.58","0.16","0","1","0.4","0.5","0.28","0.19","0","6"
"Magistral Medium","0","0","0.5","0","0","0","0","0","0","0","0","4"
"Magistral 24b API","0","0","0.5","0","0","0","0","0","0","0","0","6"
"Devstral Small API","0","0","0.5","0","0","0","0","0","0","0","0","6"
"Magistral 24b Local","0.16","0","0.58","0.16","0","1","0.4","0.5","0.28","0.19","0","6"
"Devstral Small Local","0","0","0.5","0","0","0","0","0","0","0","0","6"
"Qwen3 235b thinking","0.16","0","0.58","0.16","0","1","0.4","0.5","0.28","0.19","0","4"
"Qwen3 30b thinking API","0","0","0.5","0","0","0","0","0","0","0","0","0"
"Qwen3 235b instruct","0","0","0.5","0","0","0","0","0","0","0","0","7"
"Qwen3 30b instruct API","0","0","0.5","0","0","0","0","0","0","0","0","7"
"DeepSeek Chat","0","0.16","0.41","0","0","0","0","0","0","0","0","5"
"DeepSeek Reasoner","0","0","0.5","0","0","0","0","0","0","0","0","3"
"DeepSeek R1 14b Local","0","0","0.5","0","0","0","0","0","0","0","0","5"
