Model,"Recall","False Positive Rate","Balanced Accuracy","Precision"
"GPT Oss 120b","0.52","0.05","0.73","0.9"
"GPT Oss 20b API","0.21","0","0.6","1"
"GPT Oss 20b Local","0.26","0","0.63","1"
"Grok 4.1 fast non-reasoning","0.42","0.1","0.65","0.8"
"Grok 4.1 fast reasoning","0.47","0.05","0.71","0.9"
"Devstral","0.47","0.26","0.6","0.64"
"Magistral Medium","0.42","0.1","0.65","0.8"
"Magistral 24b API","0.31","0.15","0.57","0.66"
"Devstral Small API","0.52","0.15","0.68","0.76"
"Magistral 24b Local","0.47","0.21","0.63","0.69"
"Devstral Small Local","0.52","0.21","0.65","0.71"
"Qwen3 235b thinking","0.42","0.1","0.65","0.8"
"Qwen3 30b thinking API","0.26","0","0.63","1"
"Qwen3 235b instruct","0.36","0.21","0.57","0.63"
"Qwen3 30b instruct API","0.42","0.21","0.6","0.66"
"DeepSeek Chat","0.63","0.26","0.68","0.7"
"DeepSeek Reasoner","0.52","0.05","0.73","0.9"
"DeepSeek R1 14b Local","0.31","0.1","0.6","0.75"
