Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.29","0.35","0.47","0.05","0.25","0.45","0.43","0.4","0.35","0.31","0","25"
"GPT Oss 20b API","0.52","0.29","0.61","0.17","0.42","0.64","0.61","0.61","0.58","0.54","0","25"
"GPT Oss 20b Local","0.47","0.17","0.64","0.29","0.25","0.72","0.62","0.65","0.57","0.5","0","21"
"Grok 4.1 fast non-reasoning","0.58","0.58","0.5","0.05","0.56","0.5","0.49","0.51","0.54","0.56","0","47"
"Grok 4.1 fast reasoning","0.64","0.29","0.67","0.41","0.4","0.68","0.67","0.67","0.66","0.65","0","28"
"Devstral","0.64","0.52","0.55","0.11","0.6","0.55","0.55","0.56","0.59","0.62","0","40"
"Magistral Medium","0.64","0.41","0.61","0.05","0.62","0.61","0.61","0.61","0.62","0.63","0","38"
"Magistral 24b API","0.64","0.52","0.55","0.05","0.62","0.55","0.55","0.56","0.59","0.62","0","40"
"Devstral Small API","0.52","0.35","0.58","0.11","0.46","0.6","0.58","0.58","0.56","0.54","0","43"
"Magistral 24b Local","0.41","0.23","0.58","0","0.41","0.63","0.56","0.57","0.5","0.44","0","28"
"Devstral Small Local","0.52","0.58","0.47","0","0.52","0.47","0.46","0.48","0.5","0.51","0","44"
"Qwen3 235b thinking","0.64","0.23","0.7","0.41","0.4","0.73","0.7","0.71","0.68","0.66","0","17"
"Qwen3 30b thinking API","0.52","0","0.76","0.52","0","1","0.72","0.84","0.69","0.58","0","9"
"Qwen3 235b instruct","0.58","0.58","0.5","0","0.58","0.5","0.49","0.51","0.54","0.56","0","50"
"Qwen3 30b instruct API","0.47","0.35","0.55","0.05","0.43","0.57","0.55","0.54","0.51","0.48","0","33"
"DeepSeek Chat","0.64","0.58","0.52","0.05","0.62","0.52","0.51","0.54","0.57","0.61","0","47"
"DeepSeek Reasoner","0.64","0.47","0.58","0.17","0.57","0.57","0.58","0.59","0.61","0.63","0","32"
"DeepSeek R1 14b Local","0.58","0.35","0.61","0.17","0.5","0.62","0.61","0.61","0.6","0.59","0","46"
