Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek Chat","DeepSeek Reasoner","DeepSeek R1 14b Local"
"CallReturnValueNotCheckedFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"CallReturnValueNotCheckedHiddenFixed","TN","TN","TN","TN","TN","FP","FP","TN","FP","TN","TN","TN","TN","TN","TN","FP","TN","TN"
"CallReturnValueNotCheckedHidden","FN","FN","FN","FN","FN","TP","TP","FN","TP","FN","FN","FN","FN","FN","FN","TP","FN","FN"
"CallReturnValueNotChecked","FN","FN","TP","FN","TP","FN","TP","FN","FN","FN","FN","FN","FN","FN","TP","TP","FN","FN"
"SendReturnValueNotCheckedFixed","TN","FP","TN","FP","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","TN","FP","TN","TN"
"SendReturnValueNotCheckedHiddenFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","FP","TN","FP","TN","TN"
"SendReturnValueNotCheckedHidden","TP","FN","TP","TP","TP","FN","FN","FN","TP","TP","TP","FN","FN","FN","TP","TP","TP","FN"
"SendReturnValueNotCheckedInconsistentFixed","TN","TN","TN","FP","TN","TN","TN","FP","TN","FP","TN","TN","TN","TN","TN","FP","TN","TN"
"SendReturnValueNotCheckedInconsistent","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN"
"SendReturnValueNotChecked","FN","FN","FN","TP","TP","FN","FN","FN","FN","TP","FN","FN","FN","TP","FN","TP","TP","FN"
"ValueNotCheckedFixed","TN","TN","TN","FP","TN","TN","TN","TN","TN","FP","TN","TN","TN","TN","FP","TN","TN","TN"
"ValueNotChecked","TP","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP","TP","FN","FN"
"MishandledOutOfGasExceptionFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"MishandledOutOfGasException","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
