Model,"Recall","False Positive Rate","Balanced Accuracy","Precision"
"GPT Oss 120b","0.22","0.11","0.55","0.66"
"GPT Oss 20b API","0","0","0.5","0"
"GPT Oss 20b Local","0.22","0.22","0.5","0.5"
"Grok 4.1 fast non-reasoning","0.44","0.55","0.44","0.44"
"Grok 4.1 fast reasoning","0.55","0.44","0.55","0.55"
"Devstral","0.55","0.44","0.55","0.55"
"Magistral Medium","0.33","0.22","0.55","0.6"
"Magistral 24b API","0.22","0.11","0.55","0.66"
"Devstral Small API","0.33","0.22","0.55","0.6"
"Magistral 24b Local","0.33","0.11","0.61","0.75"
"Devstral Small Local","0.33","0.11","0.61","0.75"
"Qwen3 235b thinking","0.44","0.44","0.5","0.5"
"Qwen3 30b thinking API","0.44","0.22","0.61","0.66"
"Qwen3 235b instruct","0.44","0.44","0.5","0.5"
"Qwen3 30b instruct API","0.22","0.55","0.33","0.28"
"DeepSeek Chat","0.22","0.66","0.27","0.25"
"DeepSeek Reasoner","0.55","0.11","0.72","0.83"
"DeepSeek R1 14b Local","0.22","0","0.61","1"
