Model,"Recall","False Positive Rate","Balanced Accuracy","Precision"
"GPT Oss 120b","0.26","0","0.63","1"
"GPT Oss 20b API","0.15","0","0.57","1"
"GPT Oss 20b Local","0.05","0","0.52","1"
"Grok 4.1 fast non-reasoning","0.31","0.15","0.57","0.66"
"Grok 4.1 fast reasoning","0.15","0","0.57","1"
"Devstral","0.36","0.05","0.65","0.87"
"Magistral Medium","0.21","0","0.6","1"
"Magistral 24b API","0.26","0.05","0.6","0.83"
"Devstral Small API","0.36","0.1","0.63","0.77"
"Magistral 24b Local","0.36","0.1","0.63","0.77"
"Devstral Small Local","0.36","0.1","0.63","0.77"
"Qwen3 235b thinking","0.15","0.05","0.55","0.75"
"Qwen3 30b thinking API","0","0","0.5","0"
"Qwen3 235b instruct","0.26","0","0.63","1"
"Qwen3 30b instruct API","0.26","0","0.63","1"
"DeepSeek Chat","0.26","0.1","0.57","0.71"
"DeepSeek Reasoner","0.42","0.05","0.68","0.88"
"DeepSeek R1 14b Local","0.31","0.05","0.63","0.85"
