Contract Name,"GPT Oss 120b","GPT Oss 20b API","GPT Oss 20b Local","Grok 4.1 fast non-reasoning","Grok 4.1 fast reasoning","Devstral","Magistral Medium","Magistral 24b API","Devstral Small API","Magistral 24b Local","Devstral Small Local","Qwen3 235b thinking","Qwen3 30b thinking API","Qwen3 235b instruct","Qwen3 30b instruct API","DeepSeek Chat","DeepSeek Reasoner","DeepSeek R1 14b Local"
"ErroneousConstructorName","FN","FN","TP","TP","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","TP","TP","FN"
"ReentrancyConditionalFixed","TN","TN","TN","FP","TN","FP","FP","FP","FP","TN","FP","TN","TN","FP","TN","FP","TN","TN"
"ReentrancyConditional","TP","TP","TP","TP","TP","TP","TP","TP","FN","FN","FN","TP","TP","TP","FN","TP","TP","TP"
"ReentrancyEffectUnderFunctionFixed","TN","TN","TN","FP","TN","FP","FP","FP","FP","TN","FP","TN","TN","FP","FP","FP","TN","TN"
"ReentrancyEffectUnderFunction","TP","TP","TP","TP","TP","TP","TP","TP","FN","FN","TP","TP","TP","TP","FN","TP","TP","TP"
"ReentrancySimpleFixed","TN","TN","TN","FP","TN","FP","FP","FP","FP","TN","FP","TN","TN","FP","TN","FP","TN","TN"
"ReentrancySimpleGasLimitCallFixed","FP","FP","FP","FP","TN","FP","FP","FP","FP","FP","TN","FP","FP","FP","TN","FP","FP","FP"
"ReentrancySimpleGasLimitCallSendFixed","FP","FP","TN","FP","FP","FP","FP","TN","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP"
"ReentrancySimpleGasLimitCallSend","FN","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP"
"ReentrancySimpleGasLimitCallTransferFixed","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP"
"ReentrancySimpleGasLimitCallTransfer","TP","TP","TP","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP"
"ReentrancySimpleGasLimitCall","TP","TP","FN","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP","TP","FN","TP","TP","TP"
"ReentrancySimpleLockFixed","TN","FP","FP","FP","FP","FP","FP","TN","FP","FP","FP","FP","FP","FP","FP","FP","FP","TN"
"ReentrancySimpleLockModifierFixed","TN","FP","FP","FP","FP","FP","FP","FP","TN","FP","FP","FP","FP","FP","TN","FP","FP","FP"
"ReentrancySimpleLockModifier","FN","TP","FN","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP","FN","TP","TP","TP"
"ReentrancySimpleLock","TP","TP","TP","TP","TP","TP","TP","TP","FN","FN","TP","TP","TP","TP","TP","TP","TP","TP"
"ReentrancySimple","TP","TP","FN","TP","TP","TP","TP","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"DepositContractFixed","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","FP","TN","FP","FP","FP"
"DepositContract","TP","TP","FN","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP","TP"
"CallToUnknownFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"CallToUnknownSimpleFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","FP","TN","TN","TN","FP","FP","FP","FP","TN"
"CallToUnknownSimple","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","TP","FN","FN","FN"
"CallToUnknown","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"StrictBalanceEqualityFixed","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"StrictBalanceEqualityRequireFixed","TN","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"StrictBalanceEqualityRequire","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"StrictBalanceEqualityTokenFixed","TN","TN","TN","FP","TN","TN","FP","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN","TN"
"StrictBalanceEqualityToken","FN","FN","TP","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN","FN"
"StrictBalanceEquality","TP","FN","FN","FN","FN","FN","TP","FN","FN","FN","FN","FN","FN","TP","FN","TP","FN","FN"
"ImproperDataValidationFixed","TN","TN","TN","TN","TN","FP","TN","FP","FP","TN","FP","FP","TN","TN","FP","FP","FP","TN"
"ImproperDataValidation","FN","TP","TP","FN","FN","TP","FN","TP","TP","FN","TP","FN","FN","FN","FN","FN","FN","FN"
