Model,"Time Outs","Invalid Results","Total Detections","Average runtime (ms)","Errors"
"GPT Oss 120b","0","4","68","19445.5","0"
"GPT Oss 20b API","0","5","15","27231.21","0"
"GPT Oss 20b Local","1","2","36","77887","0"
"Grok 4.1 fast non-reasoning","0","0","66","6044.85","0"
"Grok 4.1 fast reasoning","0","0","59","32367.64","0"
"Devstral","0","0","75","8596.35","0"
"Magistral Medium","0","3","34","5973.92","0"
"Magistral 24b API","0","1","47","6851.28","0"
"Devstral Small API","0","3","37","2546.21","0"
"Magistral 24b Local","0","0","46","45597.78","0"
"Devstral Small Local","0","3","37","56210.09","3"
"Qwen3 235b thinking","0","0","33","78447.85","0"
"Qwen3 30b thinking API","0","1","16","28789.92","0"
"Qwen3 235b instruct","0","1","50","8084.42","0"
"Qwen3 30b instruct API","0","1","56","7512.07","0"
"DeepSeek R1 14b Local","0","0","18","65314","0"
"DeepSeek Chat","0","0","60","23323.57","0"
"DeepSeek Reasoner","0","0","40","82849.85","0"
