Model,"Recall","False Positive Rate","Balanced Accuracy","Robust Detections","Detection Rate","Precision","Productivity","F0.5","F1","F2","Uniques","Slither Detections Matched"
"GPT Oss 120b","0.12","0.25","0.43","0","0.12","0.33","0.3","0.25","0.18","0.14","0","5"
"GPT Oss 20b API","0.12","0","0.56","0.12","0","1","0.35","0.41","0.22","0.15","0","5"
"GPT Oss 20b Local","0.25","0.12","0.56","0.25","0","0.66","0.46","0.5","0.36","0.28","0","3"
"Grok 4.1 fast non-reasoning","0.87","0.62","0.62","0.37","0.8","0.58","0.57","0.62","0.7","0.79","0","7"
"Grok 4.1 fast reasoning","0.62","0.62","0.5","0.25","0.5","0.5","0.48","0.52","0.55","0.59","0","8"
"Devstral","0.62","0.5","0.56","0.25","0.5","0.55","0.55","0.56","0.58","0.6","0","5"
"Magistral Medium","0.25","0.37","0.43","0.12","0.14","0.4","0.39","0.35","0.3","0.27","0","5"
"Magistral 24b API","0.37","0.37","0.5","0.12","0.28","0.5","0.48","0.46","0.42","0.39","0","6"
"Devstral Small API","0.5","0.25","0.62","0.25","0.33","0.66","0.61","0.62","0.57","0.52","0","6"
"Magistral 24b Local","0.37","0.37","0.5","0.12","0.28","0.5","0.48","0.46","0.42","0.39","0","7"
"Devstral Small Local","0.37","0.5","0.43","0.12","0.28","0.42","0.43","0.41","0.39","0.38","0","6"
"Qwen3 235b thinking","0.5","0.37","0.56","0.25","0.33","0.57","0.55","0.55","0.53","0.51","0","5"
"Qwen3 30b thinking API","0.62","0.12","0.75","0.5","0.25","0.83","0.73","0.78","0.71","0.65","0","6"
"Qwen3 235b instruct","0.62","0.25","0.68","0.37","0.4","0.71","0.68","0.69","0.66","0.64","0","7"
"Qwen3 30b instruct API","0.5","0.25","0.62","0.25","0.33","0.66","0.61","0.62","0.57","0.52","0","7"
"DeepSeek Chat","0.87","0.5","0.68","0.37","0.8","0.63","0.66","0.67","0.73","0.81","0","5"
"DeepSeek Reasoner","0.62","0.37","0.62","0.37","0.4","0.62","0.62","0.62","0.62","0.62","0","4"
"DeepSeek R1 14b Local","0.25","0.12","0.56","0.12","0.14","0.66","0.46","0.5","0.36","0.28","0","4"
