Model,"Recall","False Positive Rate","Balanced Accuracy","Precision"
"GPT Oss 120b","0.23","0.35","0.44","0.4"
"GPT Oss 20b API","0.47","0.05","0.7","0.88"
"GPT Oss 20b Local","0.23","0.17","0.52","0.57"
"Grok 4.1 fast non-reasoning","0.76","0.58","0.58","0.56"
"Grok 4.1 fast reasoning","0.7","0.41","0.64","0.63"
"Devstral","0.7","0.64","0.52","0.52"
"Magistral Medium","0.52","0.58","0.47","0.47"
"Magistral 24b API","0.52","0.29","0.61","0.64"
"Devstral Small API","0.47","0.41","0.52","0.53"
"Magistral 24b Local","0.47","0.47","0.5","0.5"
"Devstral Small Local","0.35","0.58","0.38","0.37"
"Qwen3 235b thinking","0.64","0.41","0.61","0.61"
"Qwen3 30b thinking API","0.52","0.23","0.64","0.69"
"Qwen3 235b instruct","0.7","0.58","0.55","0.54"
"Qwen3 30b instruct API","0.29","0.64","0.32","0.31"
"DeepSeek R1 14b Local","0.47","0.52","0.47","0.47"
"DeepSeek Chat","0.64","0.52","0.55","0.55"
"DeepSeek Reasoner","0.64","0.41","0.61","0.61"
