Model,TP,FP,TN,FN
"GPT Oss 120b",0,0,8,8
"GPT Oss 20b API",0,0,8,8
"GPT Oss 20b Local",0,0,8,8
"Grok 4.1 fast non-reasoning",1,0,8,7
"Grok 4.1 fast reasoning",0,0,8,8
"Devstral",0,0,8,8
"Magistral Medium",0,0,8,8
"Magistral 24b API",0,0,8,8
"Devstral Small API",1,0,8,7
"Magistral 24b Local",0,0,8,8
"Devstral Small Local",1,0,8,7
"Qwen3 235b thinking",0,0,8,8
"Qwen3 30b thinking API",0,0,8,8
"Qwen3 235b instruct",1,0,8,7
"Qwen3 30b instruct API",0,0,8,8
"DeepSeek Chat",0,0,8,8
"DeepSeek Reasoner",1,1,7,7
"DeepSeek R1 14b Local",0,0,8,8
